ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Estimated_Shipping_Cost,Recommended_Carrier
1,3,0,4,2,177,3,1,0,44,1233,1,89.65,FedEx
2,4,0,4,5,216,2,1,1,59,3088,1,174.9,FedEx
3,0,0,2,2,183,4,1,1,48,3374,1,194.70000000000002,FedEx
4,1,0,3,3,176,4,2,1,10,1177,1,103.85,FedEx
5,2,0,2,2,184,3,2,0,46,2484,1,151.2,FedEx
6,4,0,3,1,162,3,2,0,12,1417,1,114.85000000000001,FedEx
7,3,0,3,4,250,3,1,0,3,2371,1,167.05,FedEx
8,4,0,4,1,233,2,1,0,48,2804,1,166.20000000000002,FedEx
9,0,0,3,4,150,3,1,0,11,1861,1,137.55,FedEx
10,1,0,3,2,164,3,2,0,29,1187,1,94.85,FedEx
11,2,0,3,4,189,2,2,1,12,2888,1,188.4,FedEx
12,4,0,4,5,232,3,2,0,32,3253,1,196.65,FedEx
13,3,0,3,5,198,3,2,0,1,3667,1,232.85000000000002,FedEx
14,4,0,4,4,275,3,0,1,29,2602,1,165.6,FedEx
15,0,0,4,3,152,3,1,1,43,1009,1,78.95,FedEx
16,1,0,4,3,227,3,1,0,45,2707,1,162.85,FedEx
17,2,0,3,4,143,2,2,0,6,1194,1,106.7,FedEx
18,4,2,5,5,227,3,2,1,36,3952,1,189.60000000000002,Local Truck
19,3,2,5,5,239,3,0,1,18,2495,1,125.75,Local Truck
20,4,2,4,5,145,3,2,1,45,1059,1,40.45,Local Truck
21,0,2,3,3,161,2,2,0,38,1521,1,67.05,Local Truck
22,1,2,3,1,232,4,2,0,51,2899,1,129.45000000000002,Local Truck
23,2,2,2,5,156,2,1,1,2,1750,1,96.5,Local Truck
24,4,2,4,3,211,3,0,1,12,3922,1,200.10000000000002,Local Truck
25,3,2,4,5,251,2,2,0,28,3561,1,174.05,Local Truck
26,4,2,3,1,225,4,1,1,29,3496,1,170.3,Local Truck
